Fieldway,940GZZCRFLD,
Gravel Hill,940GZZCRGRA,
Harrington Road,940GZZCRHAR,
King Henry's Drive,940GZZCRKGH,
Lebanon Road,940GZZCRLEB,
Lloyd Park,940GZZCRLOY,
Mitcham,940GZZCRMCH,
Morden Road,940GZZCRMDN,
Merton Park,940GZZCRMTP,
New Addington,940GZZCRNWA,
Phipps Bridge,940GZZCRPHI,
Reeves Corner,940GZZCRRVC,
Sandilands,940GZZCRSAN,
Therapia Lane,940GZZCRTPA,
Waddon Marsh,940GZZCRWAD,
Wandle Park,940GZZCRWAN,
Wellesley Road,940GZZCRWEL,
Woodside,940GZZCRWOD,
Abbey Road,940GZZDLABR,
All Saints,940GZZDLALL,
Beckton,940GZZDLBEC,
Blackwall,940GZZDLBLA,
Bow Church,940GZZDLBOW,
Beckton Park,940GZZDLBPK,
Crossharbour,940GZZDLCLA,
Custom House for ExCel,940GZZDLCUS,
Cyprus,940GZZDLCYP,
Deptford Bridge,940GZZDLDEP,
Devons Road,940GZZDLDEV,
East India,940GZZDLEIN,
Elverson Road,940GZZDLELV,
Gallions Reach,940GZZDLGAL,
Heron Quays,940GZZDLHEQ,
Island Gardens,940GZZDLISL,
King George V,940GZZDLKGV,
Langdon Park,940GZZDLLDP,
Mudchute,940GZZDLMUD,
Pontoon Dock,940GZZDLPDK,
Poplar,940GZZDLPOP,
Prince Regent,940GZZDLPRE,
Pudding Mill Lane,940GZZDLPUD,
Royal Albert,940GZZDLRAL,
Royal Victoria,940GZZDLRVC,
Stratford High Street,940GZZDLSHS,
Stratford International,940GZZDLSIT,
South Quay,940GZZDLSOQ,
Star Lane,940GZZDLSTL,
Westferry,940GZZDLWFE,
West India Quay,940GZZDLWIQ,
West Silvertown,940GZZDLWSV,
Acton Town,940GZZLUACT,
Archway,940GZZLUACY,
Aldgate East,940GZZLUADE,
Angel,940GZZLUAGL,
Aldgate,940GZZLUALD,
Alperton,940GZZLUALP,
Arnos Grove,940GZZLUASG,
Arsenal,940GZZLUASL,
Bromley-by-Bow,940GZZLUBBB,
Barbican,940GZZLUBBN,
Bounds Green,940GZZLUBDS,
Becontree,940GZZLUBEC,
Barkingside,940GZZLUBKE,
Buckhurst Hill,940GZZLUBKH,
Bethnal Green,940GZZLUBLG,
Bermondsey,940GZZLUBMY,
Bond Street,910GBONDST,
Borough,940GZZLUBOR,
Boston Manor,940GZZLUBOS,
Barons Court,940GZZLUBSC,
Baker Street,940GZZLUBST,
Burnt Oak,940GZZLUBTK,
Brent Cross,940GZZLUBTX,
Bow Road,940GZZLUBWR,
Bayswater,940GZZLUBWT,
Belsize Park,940GZZLUBZP,
Caledonian Road,940GZZLUCAR,
Chalk Farm,940GZZLUCFM,
Covent Garden,940GZZLUCGN,
Chancery Lane,940GZZLUCHL,
Cockfosters,940GZZLUCKS,
Colindale,940GZZLUCND,
Clapham Common,940GZZLUCPC,
Canons Park,940GZZLUCPK,
Clapham North,940GZZLUCPN,
Clapham South,940GZZLUCPS,
Colliers Wood,940GZZLUCSD,
Chesham,940GZZLUCSM,
Camden Town,940GZZLUCTN,
Chigwell,940GZZLUCWL,
Chiswick Park,940GZZLUCWP,
Croxley,940GZZLUCXY,
Debden,940GZZLUDBN,
Dagenham East,940GZZLUDGE,
Dagenham Heathway,940GZZLUDGY,
Dollis Hill,940GZZLUDOH,
Eastcote,940GZZLUEAE,
East Acton,940GZZLUEAN,
Ealing Common,940GZZLUECM,
Earl's Court,940GZZLUECT,
East Finchley,940GZZLUEFY,
Edgware,940GZZLUEGW,
East Ham,940GZZLUEHM,
Embankment,940GZZLUEMB,
Epping,940GZZLUEPG,
Elm Park,940GZZLUEPK,
East Putney,940GZZLUEPY,
Edgware Road,940GZZLUERB,
Edgware Road,940GZZLUERC,
Euston Square,940GZZLUESQ,
Fulham Broadway,940GZZLUFBY,
Fairlop,940GZZLUFLP,
Finchley Central,940GZZLUFYC,
Finchley Road,940GZZLUFYR,
Goodge Street,940GZZLUGDG,
Grange Hill,940GZZLUGGH,
Golders Green,940GZZLUGGN,
Goldhawk Road,940GZZLUGHK,
Green Park,940GZZLUGPK,
Great Portland Street,940GZZLUGPS,
Gants Hill,940GZZLUGTH,
Gloucester Road,940GZZLUGTR,
Holborn,940GZZLUHBN,
High Barnet,940GZZLUHBT,
Hornchurch,940GZZLUHCH,
Hendon Central,940GZZLUHCL,
Hillingdon,940GZZLUHGD,
Hanger Lane,940GZZLUHGR,
Highgate,940GZZLUHGT,
Hainault,940GZZLUHLT,
Hatton Cross,940GZZLUHNX,
Hyde Park Corner,940GZZLUHPC,
Holland Park,940GZZLUHPK,
High Street Kensington,940GZZLUHSK,
Hampstead,940GZZLUHTD,
Hounslow Central,940GZZLUHWC,
Hounslow East,940GZZLUHWE,
Hounslow West,940GZZLUHWT,
Holloway Road,940GZZLUHWY,
Ickenham,940GZZLUICK,
Kilburn,940GZZLUKBN,
Kingsbury,940GZZLUKBY,
Knightsbridge,940GZZLUKNB,
Kennington,940GZZLUKNG,
Kilburn Park,940GZZLUKPK,
Ladbroke Grove,940GZZLULAD,
Lambeth North,940GZZLULBN,
Loughton,940GZZLULGN,
Lancaster Gate,940GZZLULGT,
Latimer Road,940GZZLULRD,
Leicester Square,940GZZLULSQ,
Leyton,940GZZLULYN,
Leytonstone,940GZZLULYS,
Marble Arch,940GZZLUMBA,
Morden,940GZZLUMDN,
Mile End,940GZZLUMED,
Mill Hill East,940GZZLUMHL,
Monument,940GZZLUMMT,
Moor Park,940GZZLUMPK,
Manor House,940GZZLUMRH,
Mansion House,940GZZLUMSH,
Mornington Crescent,940GZZLUMTC,
Maida Vale,940GZZLUMVL,
North Acton,940GZZLUNAN,
Newbury Park,940GZZLUNBP,
Neasden,940GZZLUNDN,
North Ealing,940GZZLUNEN,
Northfields,940GZZLUNFD,
North Greenwich,940GZZLUNGW,
North Harrow,940GZZLUNHA,
Notting Hill Gate,940GZZLUNHG,
Northolt,940GZZLUNHT,
Northwick Park,940GZZLUNKP,
Northwood,940GZZLUNOW,
Northwood Hills,940GZZLUNWH,
Oakwood,940GZZLUOAK,
Osterley,940GZZLUOSY,
Oval,940GZZLUOVL,
Oxford Circus,940GZZLUOXC,
Piccadilly Circus,940GZZLUPCC,
Pimlico,940GZZLUPCO,
Park Royal,940GZZLUPKR,
Plaistow,940GZZLUPLW,
Pinner,940GZZLUPNR,
Preston Road,940GZZLUPRD,
Parsons Green,940GZZLUPSG,
Perivale,940GZZLUPVL,
Putney Bridge,940GZZLUPYB,
Queensbury,940GZZLUQBY,
Queensway,940GZZLUQWY,
Redbridge,940GZZLURBG,
Regent's Park,940GZZLURGP,
Ruislip Gardens,940GZZLURSG,
Ruislip Manor,940GZZLURSM,
Ruislip,940GZZLURSP,
Russell Square,940GZZLURSQ,
Ravenscourt Park,940GZZLURVP,
Roding Valley,940GZZLURVY,
Rayners Lane,940GZZLURYL,
Royal Oak,940GZZLURYO,
Shepherd's Bush Market,940GZZLUSBM,
South Ealing,940GZZLUSEA,
Stamford Brook,940GZZLUSFB,
Southfields,940GZZLUSFS,
Stepney Green,940GZZLUSGN,
Southgate,940GZZLUSGT,
South Harrow,940GZZLUSHH,
St James's Park,940GZZLUSJP,
St John's Wood,940GZZLUSJW,
South Kensington,940GZZLUSKS,
Stockwell,940GZZLUSKW,
Snaresbrook,940GZZLUSNB,
St Paul's,940GZZLUSPU,
Sloane Square,940GZZLUSSQ,
Stanmore,940GZZLUSTM,
Sudbury Hill,940GZZLUSUH,
Sudbury Town,940GZZLUSUT,
Swiss Cottage,940GZZLUSWC,
South Woodford,940GZZLUSWF,
Southwark,940GZZLUSWK,
South Wimbledon,940GZZLUSWN,
Totteridge & Whetstone,940GZZLUTAW,
Tooting Bec,940GZZLUTBC,
Tooting Broadway,940GZZLUTBY,
Tufnell Park,940GZZLUTFP,
Theydon Bois,940GZZLUTHB,
Temple,940GZZLUTMP,
Turnham Green,940GZZLUTNG,
Turnpike Lane,940GZZLUTPN,
Tower Hill,940GZZLUTWH,
